*********************************************************************************************************start
By CHINAMI-JBU9G23
2024年12月8日  22:11:40

操作系统:  Windows 11  (10.0.22621) 64bit
系统内存大小:  32544
设备模型:  MS-7D94 (Micro-Star International Co., Ltd.)
设备唯一标识符:  9f6428c0edde7502a5a7f860e890938052a694a5
处理器数量:  24
处理器类型:  13th Gen Intel(R) Core(TM) i7-13700K
显卡标识符:  9476
显卡名称:  NVIDIA GeForce RTX 3060
显卡标识符:  4318
显卡厂商:  NVIDIA
显卡版本:  Direct3D 11.0 [level 11.1]
显存大小:  12115
显卡着色器级别:  50
是否图像效果:  True
是否支持内置阴影:  True
*********************************************************************************************************end
LogInfo:

[I]22:11:40.158 Boar
[I]22:11:46.071 isWait:True
[I]22:11:46.091 isWait:True
[I]22:11:46.112 isWait:True
[I]22:11:46.130 isWait:True
[I]22:11:46.149 isWait:True
[I]22:11:46.185 isWait:True
[I]22:11:46.189 isWait:True
[I]22:11:46.215 isWait:True
[I]22:11:46.233 isWait:True
[I]22:11:46.252 isWait:True
[I]22:11:46.270 isWait:True
[I]22:11:46.287 isWait:True
[I]22:11:46.329 isWait:True
[I]22:11:46.330 isWait:True
[I]22:11:46.365 isWait:True
[I]22:11:46.384 isWait:True
[I]22:11:46.404 isWait:True
[I]22:11:46.423 isWait:True
[I]22:11:46.441 isWait:True
[I]22:11:46.459 isWait:True
[I]22:11:46.478 isWait:True
[I]22:11:46.498 isWait:True
[I]22:11:46.516 isWait:True
[I]22:11:46.540 isWait:True
[I]22:11:46.557 isWait:True
[I]22:11:46.576 isWait:True
[I]22:11:46.594 isWait:True
[I]22:11:46.613 isWait:True
[I]22:11:46.631 isWait:True
[I]22:11:46.650 isWait:True
[I]22:11:46.669 isWait:True
[I]22:11:46.704 isWait:True
[I]22:11:46.723 isWait:True
[I]22:11:46.747 isWait:True
[I]22:11:46.765 isWait:True
[I]22:11:46.784 isWait:True
[I]22:11:46.803 isWait:True
[I]22:11:46.823 isWait:True
[I]22:11:46.842 isWait:True
[I]22:11:46.860 isWait:True
[I]22:11:46.879 isWait:True
[I]22:11:46.898 isWait:True
[I]22:11:46.918 isWait:True
[I]22:11:46.937 isWait:True
[I]22:11:46.961 isWait:True
[I]22:11:46.980 isWait:True
[I]22:11:46.999 isWait:True
[I]22:11:47.017 isWait:True
[I]22:11:47.038 isWait:True
[I]22:11:47.057 isWait:True
[I]22:11:47.076 isWait:True
[I]22:11:47.095 isWait:True
[I]22:11:47.115 isWait:True
[I]22:11:47.134 isWait:True
[I]22:11:47.153 isWait:True
[I]22:11:47.177 isWait:True
[I]22:11:47.195 isWait:True
[I]22:11:47.216 isWait:True
[I]22:11:47.234 isWait:True
[I]22:11:47.253 isWait:True
[I]22:11:47.272 isWait:True
[I]22:11:47.291 isWait:True
[I]22:11:47.311 isWait:True
[I]22:11:47.329 isWait:True
[I]22:11:47.348 isWait:True
[I]22:11:47.387 isWait:True
[I]22:11:47.389 isWait:True
[I]22:11:47.419 isWait:True
[I]22:11:47.437 isWait:True
[I]22:11:47.455 isWait:True
[I]22:11:47.474 isWait:True
[I]22:11:47.492 isWait:True
[I]22:11:47.512 isWait:True
[I]22:11:47.531 isWait:True
[I]22:11:47.549 isWait:True
[I]22:11:47.589 isWait:True
[I]22:11:47.589 isWait:True
[I]22:11:47.609 isWait:True
[I]22:11:47.645 isWait:True
[I]22:11:47.664 isWait:True
[I]22:11:47.683 isWait:True
[I]22:11:47.701 isWait:True
[I]22:11:47.720 isWait:True
[I]22:11:47.737 isWait:True
[I]22:11:47.756 isWait:True
[I]22:11:47.775 isWait:True
[I]22:11:47.798 isWait:True
[I]22:11:47.816 isWait:True
[I]22:11:47.835 isWait:True
[I]22:11:47.855 isWait:True
[I]22:11:47.874 isWait:True
[I]22:11:47.894 isWait:True
[I]22:11:47.912 isWait:True
[I]22:11:47.930 isWait:True
[I]22:11:47.948 isWait:True
[I]22:11:47.984 isWait:True
[I]22:11:48.007 isWait:True
[I]22:11:48.025 isWait:True
[I]22:11:48.045 isWait:True
[I]22:11:48.062 isWait:True
[I]22:11:48.081 isWait:True
[I]22:11:54.010 isWait:True
[I]22:11:54.034 isWait:True
[I]22:11:54.053 isWait:True
[I]22:11:54.073 isWait:True
[I]22:11:54.091 isWait:True
[I]22:11:54.109 isWait:True
[I]22:11:54.145 isWait:True
[I]22:11:54.164 isWait:True
[I]22:11:54.183 isWait:True
[I]22:11:54.205 isWait:True
[I]22:11:54.224 isWait:True
[I]22:11:54.243 isWait:True
[I]22:11:54.260 isWait:True
[I]22:11:54.280 isWait:True
[I]22:11:54.298 isWait:True
[I]22:11:54.317 isWait:True
[I]22:11:54.336 isWait:True
[I]22:11:54.355 isWait:True
[I]22:11:54.374 isWait:True
[I]22:11:54.393 isWait:True
[I]22:11:54.416 isWait:True
[I]22:11:54.434 isWait:True
[I]22:11:54.452 isWait:True
[I]22:11:54.471 isWait:True
[I]22:11:54.489 isWait:True
[I]22:11:54.526 isWait:True
[I]22:11:54.544 isWait:True
[I]22:11:54.564 isWait:True
[I]22:11:54.582 isWait:True
[I]22:11:54.601 isWait:True
[I]22:11:54.624 isWait:True
[I]22:11:54.642 isWait:True
[I]22:11:54.661 isWait:True
[I]22:11:54.680 isWait:True
[I]22:11:54.698 isWait:True
[I]22:11:54.718 isWait:True
[I]22:11:54.736 isWait:True
[I]22:11:54.756 isWait:True
